proc_text,page,plan,year,doc_id
데이터 공유 생태 배경 학습 평가 데이터 데이터 기술 핵심 요소 데이터 규모 성능 좌지우지 인터넷 데이터 저작물 데이터 접근 구매 각종 데이터 공개 산업 데이터 개인 정보 중요 급부상 전망 기업 개인 동의 접근 데이터 데이터 공유 정부 공익 민감 정보 데이터 기부 개인 데이터 기부 공유 노력 정책 권고 국세청 관계 협력 학습 평가 데이터 대외 공개 기부 데이터 공유 방안 분기 이내 기업 개인 공유 주체 세액 공제 맞춤 컨설팅 정부 인프라 이용 정부 가점 혜택 부여 신설 제도 정착 데이터 공유 사회 인식 적극 인식 제고 활동 관계 협력 데이터 가치 평가 품질 인증 제도 통합 관계 협력 분기 단계 산업 도메인 특화 데이터 가치 평가 품질 인증 모델 기업 제고 방안 관계 협력 공유 데이터 비용 민간 데이터 공유 초기 기획 분기 시행,12,2,2026,10
보건 의료 고도 전환 학습 데이터 확충 배경 보건 의료 데이터 소유 권리 관계 그간 국가 민간 노력 데이터 분절 의료 기관 대다수 민간 소유 병의원 공공 데이터 결합 장애 요인 최근 특화 파운데이션 모델 기술 개발 대량 양질 보건 의료 시계열 진료 데이터 공공 데이터 개인 유래 건강 데이터 결합 필수 미래 기술 개발 대비 데이터 방안 정책 권고 학습 다기 의료 데이터 공공 데이터 민간 의료 데이터 결합 방안 입법 분기 독자 파운데이션 모델 보건 의료 특화 파운데이션 모델 개발 보건 의료 학습 데이터 이용 보건 의료 빅데이터 플랫폼 방안 분기 국방부 보유 의료 데이터 통합 방안 시범 협력 분기 국가 데이터 통합 플랫폼 보건 의료 학습 데이터 이용 보건 의료 빅데이터 플랫폼 협력 방안 분기,13,2,2026,11
국가 과학 통합 인프라 연구 개발 혁신 생태 배경 미국 발표 제네시스 미션 연방 정부 축적 과학 슈퍼 컴퓨팅 자원 연구 인프라 실험 설비 통합 플랫폼 모델 학습 가설 검증 실험 시뮬레이션 자동 의료 에너지 소재 국방 과학 분야 연구 혁신 가속 도모 우리나라 분야 연구 산업 자원 전략 과학 기술 분야 결집 전략 대한민국 기술 우위 과학 실험 관측 시뮬레이션 생산 연구 데이터 단순 연구 산출 과학 기술 가속 핵심 동력 품질 국가 경쟁력 좌우 과학 데이터 수집 가공 방식 결정 판단 영역 과학 기술 형태 진화 특성 반영 연구 데이터 체계 관리 제도 과학 데이터 연산 인프라 정책 권고 과학 혁신 가속 연구 생산 획기적 제고 분기 전략 전략 연구 데이터 모델 자율 실험실 핵심 통합 국가 과학 통합 플랫폼 전략 과학 기술 분야 핵심 난제 선정 임무 해결 전략 분야 난제 해결 방식 후술 행동 기초 과학 전략 과학 기술 분야 혁신 연구 동료 개발 핵심 과학 분야 모델 공공 산업 국가 연구 개발 생산 연구 데이터 수집 관리 촉진 과학 기술 개발 고도 적극,14,2,2026,12
제도 연구 현장 의견 분기 수렴 연구 데이터 정의 책무 규정 연구 데이터 제정 분기 이내 국가 표준 메타 데이터 체계 데이터 품질 관리 단계 국가 연구 데이터 효율 체계 연구 데이터 기여도 인센티브 제도 기획 단계 수집 데이터 설계 연구 데이터 생산 연구 데이터 개방 공유 원칙 국가 경쟁력 데이터 주권 보장 보호 체계 글로벌 연구 데이터 협력 네트워크 연구자 산업 해외 데이터 접근 조성 과학 기술 연구 전용 연구 기관 체계 과학 기술 연구자 융합 연구 자원 원활 접근 정책 분기 단계 공공 과학 데이터 공공 과학 모델 연구 공공 생태 허브 역할 가칭 국가 분기 설립 데이터 관리 과학 플랫폼 프런티어 모델 개발 담당 국내외 기관 협력 국가 연구 산업 경쟁력 견인 중추 역할,15,2,2026,13
국가 데이터 거버넌스 정립 배경 기본법 국가 제도 거버넌스 체계 일부 형성 생태 핵심 데이터 거버넌스 법률 관리 체계 분산 효과 법률 공공 민간 데이터 관리 법률 공공 데이터 이용 법률 데이 행정 법률 데이터 산업 진흥 이용 촉진 기본법 산재 관리 실행 감독 분쟁 조정 기구 공공 데이터 전략 공공 데이터 분쟁 조정 국가 데이터 정책 데이터 분쟁 조정 공공 기관 공공데이 책임 데이터 행정 책임관 파편 효과 실행 현장 혼선 국가 이터 거버넌스 단일 컨트롤 타워 국가 체계 때문 시대 전문가 국가 부재 상황 국가 전환 정부 데이터 기술 종합 체계 협업 거버넌스 모델 거버넌스 모델 통계청 국가데이터처 승격 국가데이터처장 국가데이터 최고 책임자 지정 국무회의 사실 고려 정책 권고 국가 전략 민간 공공 데이터 관리 국가 인공 지능 기술 개발 인프라 인재 규제 혁신 실행 주체 의사 결정 체계 국가 체계 국가 체계 정비 국가 역할 구분 유기 협업 종합 분기 이내 부총리 국가데이터처 관계 국가 전략 종합 거버넌스 실행 분기 법령 개정안 정부안 분기 국회 제출 법령 개정 거버넌스 종합 개편 완료 과학 기술부 총리 대통령령 국가 설치 규정 신설 국가 체계,16,2,2026,14
민간 공공 보안 생태 정보 보호 산업 자생력 배경 최근 국내 해킹 사고 국가 배후 해킹 그룹 체계 공격 보안 인증 획득 기업 해킹 행정 문제 신고 해킹 사고 일부 해킹 신고 과도 비즈니스 리스크 최대 과징금 기업 이미지 손상 원인 보안 기업 기관 활동 활동 필수 요소 투자 우선순위 보안 투자 효과 장기 반면 비용 부담 적극 투자 때문 현행 해킹 대응 체계 단점 문서 위주 사전 인증 제도 신고 회피 소극 보안 투자 국산 외면 극복 기업 기관 자발 보안 활동 촉진 정책 재정 인센티브 안보 주권 국내 정보 보호 기업 경쟁력 필수 국가 민간 협력 산업 맞춤 보안 미래 보안 기술 기업 집중 노력 병행 정책 권고 개인 정보 협력 인증 인증 체계 기업 자산 취약점 파악 관리 공격 표면 관리 점검 분기 반영 국가 전략 기존 사후 대응 한계 사전 상시 통신망 보안 제도 패러다임 변화 채택 취약점 신고 조치 공개 제도 국내 공공 로드맵 분기 국정원 화이트 해커 민간 공공 분야 정보 통신망 서비스 디지털 제품 소프트웨어 하드웨어 보안 취약점 사전 발굴 합법 해당 활동 참여 기관 공공 기관 한편 참여 기업 시범 분기 진행 국정원 국가 전략 로드맵 유관 기관 협력 민간 공공 분야 정보 통신망 서비스 디지털 제품 보안 취약점 효과 발굴 신고 조치 공개 협력 가이드라인 화이트 해커 참여 촉진 방안 분기 관리 기관 지정,17,2,2026,15
국정원 분기 시범 바탕 민간 공공 제도 제도 법무부 문체부 개인 정보 관계 소관 법률 관계 하위 법령 개정 협조 국정원 기획 예산처 조달청 개인 정보 디지털 제품 서비스 취약점 발굴 신고 공개 정책 민간 기업 공공 기관 보안 인증 가점 실태 평가 제도 예산 정부 입찰 우대 사고 과징금 경감 인센티브 방안 분기 재정 경제부 협력 중소기업 국산 보안 솔루션 신규 보안 기술 세제 외산 의존도 국내 기업 기술 개발 촉진 정책 분기 단계 보안 생태 사이버 보안 펀드 중기부 협력 중소 영세 기업 보안 솔루션 분기 국가 전반 보안 제고 기획 예산처 협력 분기 시스템 공격 모델 오염 데이터 유출 프롬프트 인젝션 이용 공격 침해 사고 악성 코드 페이크 공격 피해 중소기업 긴급 복구 동시 보안 인력 도구 가이 프로그램 중소기업 보안 솔루 구매 취약점 점검 서비스 클라우드 보안 서비스 구독료 보안 사각지대 해소 국내 보안 산업 생태 선순환 구조 차세대 기술 에이전트 피지컬 보안 유망 기업 자금 시제품 개발 검증 보안 인증 규제 대응 컨설팅 시장 해외 진출 집중 프로그램 금융 제조 의료 산업 특화 보안 기업 선정 기획 개발 시험 고도 주기 체계 기업 시험 검증 실증 뒷받침 통합 보안 센터 분기,18,2,2026,16
사이버 보안 체계 보안 기술 경쟁력 보안 인재 양성 배경 미래 시대 정보 보호 주권 신뢰 사회 실현 양자 차세대 보안 기술 주도 산업 경쟁력 기업 보안 위협 인식 보안 시스템 시스템 공격 훈련 데이터 모델 오염 오작동 신뢰 저하 데이터 유출 섀도우 직원 승인 소프트웨어 무단 위협 형태 진화 신뢰 관리 체계 글로벌 보안 시장 성장 예상 반면 국내 소수 스타트업 존재 미래 시장 선점 상황 현상 국내 보안 인력 부족 스타트업 중소기업 저조 기술력 기업 정부 보안 투자 협력 미비 기인 에이전트 피지컬 차세대 기술 보안 국내 기업 부재 산업 최고 인력 양성 체계 부족 실정 에이전트 자율 의사 결정 실행 때문 오류 악의 조작 규모 피해 피지컬 로봇 자율 주행 현실 세계 영향 신체 안전 위협 보안 위험 초래 보안 투자 전환 특화 보안 기업 실전 인재 양성 체계 종합 접근 정책 권고 글로벌 테크 기업 범용 기술 종속 탈피 국내 민감 위협 정보 외부 유출 방지 한국 사이버 위협 환경 위협 신종 변종 위협 분석 사이버 보안 사이버 보안 학습 사후 대응 예측 예방 전환 국정원 관계 협력 정부 공공 기관 탐지 체계 징후 포착 신종 변종 위협 데이터,19,2,2026,17
정제 사이버 보안 학습 데이터 반영 분석 학습 반복 위협 사전 징후 분석 대응 정확도 신뢰도 향상 체계 방안 분기 보안 위협 대응 민간 주도 정보 공유 분석 센터 분기 설립 향후 개발 예정 독자 모델 상시 점검 체계 분기 모델 시스템 보안 내재 공격 탐지 방어 양자 내성 암호 전환 차세대 보안 기술 주도 양자 차세대 보안 기술 개발 투자 전체 예산 분기 개인정보 향후 에이전트 피지컬 대비 에이전트 피지컬 이용 자동 업무 오작동 권한 남용 정책 우회 개인 정보 유출 체계 차단 기술 관리 대응 방안 분기 개인 정보 개인 정보 학습 영향 외부 취약점 점검 개인 정보 유출 방지 안전 방안 분기 보안 인력 조사 근거 실전 훈련 보안 인재 양성 방안 분기 노동부 개인 정보 관계 협력 정부 양성 보안 인재 정보 통합 관리 기업 채용 보안 인력 관리 플랫폼 분기,20,2,2026,18
시대 넥스트 안보 위협 대응 협력 배경 기술 비약 악성 코드 자동 생성 시스템 취약점 공략 생성 이용 페이크 인간 공학 공격 급증 공격 기존 보안 체계 대응 위협 사전 예측 능동 방어 차세대 방어 전략 모델 자율 학습 능력 향상 공격자 보안 시스템 우회 방어 모델 역이용 방식 지능 위협 추세 국가 핵심 인프라 행정 시스템 군사 네트워크 영역 보안 환경 위협 동맹국 공조 글로벌 위협 대응 클라우드 환경 서비스 물리 분리 설계 국가망 보안 체계 전환 성공 위협 예측 능동 방어 체계 국가 국제 공조 체계 독자 안보 플랫폼 선제 보안 개발 우방국 실시간 위협 정보 공유 체계 확립 시대 국가 안보 기존 사이버 보안 기술 생태 공급망 전반 신뢰 투명 국제 공조 확장 정부 민간 기업 전문가 우방국 참여 다층 유기 안보 생태 필수 정책 권고 국정원 안보 활동 국가 안보 관계 법령 민간 부문 보안 사안 관계 요청 협력 원칙 공공 부문 시스템 국가 안보 영향 사안 관계 협력 체계 국정원 안보 활동 예산 국회 보고 법정 절차,21,2,2026,19
국정원 사이버 위협 페이크 악성 코드 생성 기술 선제 탐지 차단 독자 사이버 안보 플랫폼 정보 전략 분기 딥페이크 허위 정보 판별 기술 고도 분기 국정원 공공 분야 개인 정보 협력 민간 보안 기업 화이트 해커 참여 안전 프라이버시 레드티밍 체계 상시 모의 해킹 테스트 베드 분기 국정원 외교부 협력 각종 안보 위협 대응 주요국 정보기관 글로벌 안보 연대 위협 정보 기술 공유 한편 안보 현안 주요국 정보기관 대응 전략 합동 구체 국정원 질병청 원안위 국방부 외교부 협력 초래 국가 안보 위협 화학 생물학 방사능 대비 기술 개발 국제 협력 지식재산처 첨단 기술 해외 유출 방지 특허 빅데이터 기술 유출 위험 영역 위험 경보 분석 관계 기관 공유 정부 기술 유출 한편 기술 유출 위험 경보 체계 분기 고도,22,2,2026,20
전략 분야 차세대 기술 선점 비전 미션 압도 분야 기술 우위 자본력 시장 규모 격차 기존 추격 전략 기술 패권 대응 한계 제조업 반도체 강점 극대 종합 전략 피지컬 분야 세계 기술 국가 결집 대형 연구 플랫폼 글로벌 연구 중심지 도약 기초과학 전략 과학 기술 분야 혁신 촉발 연구 생산 러다임 전환 과학 발견 촉진 동시 과학 견인 선순환 혁신 구조 행동 구성 피지컬 휴머노이드 반도체 분야 차세대 기술 가칭 국가 지능 설립 기초 과학 전략 과학 기술 분야 혁신 연구 동료 개발,23,2,2026,21
피지컬 휴머노이드 반도체 분야 차세대 기술 배경 세계 생성 로봇 무인 동체 물리 환경 인지 추론 행동 피지컬 시대 이동 글로벌 월드모델 고충실도 시뮬레이션 로봇 행동 데이터 로봇 기초 좌우 핵심 기술 선점 경쟁 본격 제조 서비스 휴머노이드 로봇 시장 구조 근본 재편 나라 제조 로봇 하드웨어 분야 경쟁력 보유 피지컬 전환 주도 취약 분야 전반 투자 부족 기술 개발 산업 견인 통합 전략 부재 핵심 기술 정의 체계 지컬 생태 촉진 국가 설정 시점 컴퓨팅 인프라 구성 시스템 반도체 의존도 중장기 공급망 리스크 부가 가치 유출 국내 팹리스 기업 파운드리 기업 테스트 패키징 기업 종합 정책 권고 협력 피지컬 달성 월드 모델 로봇 파운데이션 모델 성능 반도체 플랫폼 핵심 기술 실제 환경 데이터 분야 피지컬 종합 분기 관계 협조 과기정통부 협력 휴머노이드 로봇 달성 산업 생태 조성 분기 관계 협조 글로벌 시스템 반도체 점유 팹리스 기업 생태 근본 산업 경쟁력 규모 산업 글로벌 시장 진출 종합 분기,24,2,2026,22
가칭 국가 지능 설립 배경 모델 경쟁 거대 모델 고도 학습 추론 인간 일반 지능 근접 범용 지능 경쟁 심화 미국 국가 연구 인프라 프런티어 프로 그램 시뮬레이션 로봇 지능 핵심 기술 맨해튼 프로젝트 국가 연구 확충 일환 평가 발표 제네시스 미션 연방 정부 축적 과학 데이터 슈퍼 컴퓨팅 자원 연구 인프라 실험 설비 통합 플랫폼 기초 모델 학습 검증 실험 설계 시뮬레이션 예측 모델 생성 자동 의료 에너지 소재 국방 기초 과학 분야 연구 혁신 가속 도모 반면 우리나라 출연 민간 대학 규모 연구 개별 진행 국가 전략 집중 투자 장기 체계 부재 인재 유치 미흡 구조 문제 한민국 기술 국가 도약 단기 지능 기술 첨단 기술 국가 장기 독립 국가 연구 기관 정책 권고 기획 예산처 협의 기술 달성 고급 연구 인력 재원 투입 독립 보장 법령 개정 글로벌 기술 패권 판도 첨단 기술 개발 전담 국가 지능 가칭 설립 분기 바탕 분기 설립,25,2,2026,23
기초 과학 전략 과학 기술 분야 혁신 연구 동료 개발 배경 수학 물리학 천문 우주 과학 화학 생명 과학 지구 과학 기초 과학 분야 융합 혁신 연구 강력 엔진 기존 접근 난제 해결 미지 현상 규명 인류 지식 지평 획기적 확장 핵심 역할 시작 기초 과학 연구자 자유 창의 도전 탐구 몰입 연구 생태 조성 과학 발견 가속 심화 과학 지식 기술 진보 견인 선순환 혁신 구조 연구 기술 연구 패러다임 부상 연구 동료 연구자 가설 생성 실험 설계 데이터 분석 보고 연구 통합 과학 도구 연구자 생산 창의 극대 잠재력 과학 연구 플랫폼 단계 연구자 효율 공공 연구 인프라 전략 정책 권고 인류 지식 지평 확장 장기 혁신 기초 과학 분야 혁신 촉진 종합 체계 기초 과학 연구자 자율 제안 혁신 기초 과학 융합 연구 프로그램 적극 기초 과학 접근 자체 혁신 연구 기초 과학 분야 융합 종합 전략 분기 기초 과학 연구자 주도 기초 과학 융합 연구 프로그램 시범 분기 본격 과학 기술 전반 혁신 견인 수학 개발 적극 수학 연구 분기,26,2,2026,24
바탕 프로그램 분기 시범 분기 본격 과학 기술 분야 도메인 지식 지식 균형 융합 연구자 정책 분기 단계 과학 기술 연구 개발 산업 혁신 내재 국가 과학 기술 관리 플랫폼 분기 도구 속도 연구 동료 과학 도구 과학 데이터 생산 기술 기술 대두 예상 환경 국가 혁신 글로벌 환경 변화 대응 연구 초기 조정 변경 반영 체계 분기 과학 기술자 협력 창의 효율 연구 거대 언어 모델 연구 동료 개발 실험 데이터 문헌 전문가 추론 데이터 연구 피드백 품질 학습 자원 데이터 생태 연구자 상호 작용 연구 플랫폼 민주 연구 인프라 로드맵 분기 연구 동료 개발 분야 과학 기술 전문가 문제 정의 해결 평가 참여 과학 기술자 연구 동료 상호 작용 분기 개발 시작 분기 테스트 개발 범위 단계 연구자 피드백 협업 반영 연구 동료 프레임 워크 고도,27,2,2026,25
과학 기술 분야 활동 은퇴 연구자 현직 연구자 연구 경험 노하우 체계 수집 구조 연구 동료 과학 생태 지식 데이터 세대 과학 지식 단절 방지 논문 연구자 판단 체계 연구 축적 직관 통찰 문제 인식 해결 사고 구조 학습 로드맵 분기,28,2,2026,26
전략 분야 핵심 인재 비전 미션 전환기 대비 국가 본질 책무 교육 국가 초래 사회 산업 변화 선제 대응 교육 인재상 생애 주기 교육 시스템 정비 가지 단일 체계 동시 국민 보장 학습 경로 이해 비판 판단 소양 공교육 체제 혁신 학년 연속 디지털 교육 교과 수업 학교 전반 체계 안착 발달 단계 부합 대학 대학원 국내 우수 인재 양성 연구 산업 경로 고도 고급 인재 성장 경로 확장 글로벌 인재 유치 국제 협력 네트워크 병행 세계 최고 핵심 인재 국내 교류 성장 핵심 인재 확충 생태 구현 가지 동시 달성 국민 세계 핵심 인재 상호 보완 실현 행동 구성 시대 국가 교육 체계 혁신 실행 중등 국가 교육 교과서 체제 구조 중등 학년 연속 디지털 교육 필수 이수 중등 실습 교육 플랫폼 평가 제도 입시 제도 혁신 시대 교사 양성 연수 체계 혁신 정보 교사 임용 교원 영재 교육 체계 설계 대학 대학원 인재 양성 산업 제고 인재 양성 최고 전문가 유치 인재 경력 단절 해소 시대 국가 교육 체계 혁신 실행 배경 과거 산업 시대 표준 지식 전달 방식 경쟁력,29,2,2026,27
환경 기존 산업 혁신 산업 창출 전통 일자리 감소 동시 변화 사회 윤리 의식 바탕 융합 인재 반도체 바이오 미래 국가 전략 기술 분야 패권 경쟁 심화 시점 분야 융합 경쟁력 핵심 융합 지식 사고력 핵심 인재 국가 명운 좌우 개별 분야 학문 문제 해결 융합 사고 인재 교육 시스템 시대 사회 기술 환경 상정 설정 인재상 경직 교육 상대 평가 경쟁 주도 선발 체계 대표 현재 교육 시스템 변화 사회 산업 국가 초중등 교육 고등 교육 재직자 시민 교육 시각 재편 온라인 공개 강좌 플랫폼 최신 지식 접근 시대 융합 인력 양성 대학 단순 지식 전달자 역할 학생 지식 탐색 비판 사고 창의 융합 가치 창출 학습 촉진 혁신 플랫폼 규제 평가 시스 대학 각자 강점 특색 글로벌 경쟁력 고등 교육 생태 전체 공멸 대학 자율 획기적 혁신 변화 동력 부여 정책 권고 교위 유아 고등 교육 시대 부합 국가 교육 체계 관계 기관 적극 협업 국교 국가 교육 체계 혁신 방안 논의 기구 분기 구성 추상 논의 실질 변화 방안 도출 논의 선언 일정 실행 로드 바탕 가시 창출 분기 예정 교육 기술 사회 변화 국가 교육 체계 혁신 방안 반영 관계 기관 국가 교육 체계 혁신 구체 실행 제도 시행 순차 조치,30,2,2026,28
중등 국가 교육 교과서 체제 구조 배경 기술 사회 변화 속도 기존 교육 체계 가속 인공 지능 기술 진보 융합 사회 영향력 윤리 이슈 등장 국가 교육 주기 개정 체계 변화 반영 개정 교육 개발 체계 등장 생성 인공 지능 기술 사회 변화 기술 속도 교육 개정 주기 괴리 수록 데이터 디지털 시민 윤리 판단 진로 탐색 사회 필수 제때 교육 교과 구획 구조 인정 체제 폐쇄 교과서 제도 융합 학습 프로젝트 수업 지식 전달 정적 교육 체계 학습자 창의 문제 해결 시대 교과 경계 변화 개방 교육 체계 전환 정책 권고 교위 융합 교육 반영 교육 구성 연구 분기 바탕 학교 유형 교육 교육 모색 국교위 교육 개방 정책 설정 분기 기술 변화 속도 교과 개편 주기 다중 개편 체계 학교 자율 극대 개방 모듈 교육 구조 논의 교육 정책 연구 심화 착수,31,2,2026,29
